rank,word,score,non_overlapping_word,non_overlapping_score
10017,kokum,37.37885127424877,sared,88.85393685812096
10018,whoot,37.35869151768733,sared,88.85393685812096
10019,annal,37.35831114492203,sored,83.68276911373147
10020,pawaw,37.34842145302396,sored,83.68276911373147
10021,gibli,37.34728033472803,soare,90.64511220996577
10022,alula,37.34347660707493,sored,83.68276911373147
10023,yacca,37.3309243058197,sored,83.68276911373147
10024,whirr,37.32559908710536,salet,86.30353746671739
10025,houff,37.31152529478889,sared,88.85393685812096
10026,gnawn,37.30658044883986,sored,83.68276911373147
10027,squiz,37.304678585013306,porae,88.55534423735261
10028,stush,37.29707112970711,porae,88.55534423735261
10029,tazza,37.28375808292127,sored,83.68276911373147
10030,culch,37.28299733739064,soare,90.64511220996577
10031,quoll,37.27424876378851,sared,88.85393685812096
10032,adawn,37.26017497147204,sorel,83.5127424876379
10033,zippy,37.25979459870673,soare,90.64511220996577
10034,unmix,37.24039558767592,soare,90.64511220996577
10035,skeez,37.228223659186,roany,77.0228223659186
10036,khaph,37.22746291365538,sored,83.68276911373147
10037,laval,37.218714340053246,sored,83.68276911373147
10038,cloff,37.20958539368581,sared,88.85393685812096
10039,ngaka,37.201217192848986,sored,83.68276911373147
10040,fifth,37.200456447318366,soare,90.64511220996577
10041,mukim,37.19627234689996,soare,90.64511220996577
10042,yonny,37.15785469760365,sared,88.85393685812096
10043,bizzo,37.152149106124,sared,88.85393685812096
10044,typto,37.152149106124,sared,88.85393685812096
10045,weete,37.14416127805249,soral,77.79954355268163
10046,aflap,37.13769494104222,sored,83.68276911373147
10047,byway,37.13503233168505,sored,83.68276911373147
10048,jutty,37.12742487637885,soare,90.64511220996577
10049,akoja,37.11943704830734,sired,79.04412324077596
10050,stumm,37.10612400152149,porae,88.55534423735261
10051,agasp,37.097755800684666,corey,82.73602130087485
10052,kusso,37.09661468238874,raile,87.0532521871434
10053,yummo,37.096234309623426,sared,88.85393685812096
10054,ninon,37.081019399011026,sared,88.85393685812096
10055,queme,37.07835678965386,sorta,77.91441612780525
10056,filmi,37.07151007987828,soare,90.64511220996577
10057,kotow,37.05781666032713,sared,88.85393685812096
10058,vexed,37.03271205781665,sorta,77.91441612780525
10059,abaft,36.99923925446938,sored,83.68276911373147
10060,kylix,36.99581589958159,soare,90.64511220996577
10061,mumbo,36.98022061620388,sared,88.85393685812096
10062,quick,36.95891974134651,soare,90.64511220996577
10063,griff,36.95321414986687,salet,86.30353746671739
10064,thumb,36.94408520349943,soare,90.64511220996577
10065,tooth,36.936477748193234,sared,88.85393685812096
10066,khaya,36.93609737542792,sored,83.68276911373147
10067,thigh,36.91783948269303,soare,90.64511220996577
10068,jumbo,36.89958158995816,sared,88.85393685812096
10069,agogo,36.88170406998859,sired,79.04412324077596
10070,thete,36.87181437809053,soral,77.79954355268163
10071,babka,36.86991251426397,sored,83.68276911373147
10072,huggy,36.86610878661088,soare,90.64511220996577
10073,acara,36.84670977558007,toney,81.40547736782047
10074,accra,36.84670977558007,toney,81.40547736782047
10075,civil,36.82883225561049,soare,90.64511220996577
10076,spoof,36.8022061620388,raile,87.0532521871434
10077,undid,36.79840243438569,soare,90.64511220996577
10078,awash,36.79802206162039,porey,83.44960060859643
10079,cutch,36.78166603271205,soare,90.64511220996577
10080,stott,36.76569037656904,raile,87.0532521871434
10081,scoff,36.75047546595664,raile,87.0532521871434
10082,haham,36.73221757322176,sored,83.68276911373147
10083,myrrh,36.72232788132369,saine,87.3351084062381
10084,swoop,36.72080639026245,raile,87.0532521871434
10085,araba,36.71928489920121,toney,81.40547736782047
10086,ensew,36.70711297071129,moray,76.77063522251807
10087,zebub,36.69874476987448,sorta,77.91441612780525
10088,afanc,36.68200836820083,sored,83.68276911373147
10089,glyph,36.67478128565995,soare,90.64511220996577
10090,ficin,36.66869532141499,soare,90.64511220996577
10091,hollo,36.66755420311905,sared,88.85393685812096
10092,iodid,36.64511220996577,saner,88.61658425256752
10093,queem,36.63902624572081,sorta,77.91441612780525
10094,queyu,36.62875618105743,sorta,77.91441612780525
10095,tight,36.62114872575123,soare,90.64511220996577
10096,psych,36.61658425256751,roate,88.05249144161279
10097,evhoe,36.61011791555724,sarin,77.06466337010269
10098,mosso,36.60517306960822,raile,87.0532521871434
10099,hubby,36.58615443134272,soare,90.64511220996577
10100,twist,36.57170026626093,porae,88.55534423735261
10101,unzip,36.57170026626093,soare,90.64511220996577
10102,feese,36.56028908330163,roany,77.0228223659186
10103,opepe,36.53176112590339,sarin,77.06466337010269
10104,bhava,36.52909851654621,sored,83.68276911373147
10105,axman,36.52681627995436,sored,83.68276911373147
10106,muffy,36.52415367059719,soare,90.64511220996577
10107,papaw,36.51540509699505,sored,83.68276911373147
10108,wuddy,36.51007987828071,soare,90.64511220996577
10109,audad,36.50931913275009,sorel,83.5127424876379
10110,chump,36.49600608596424,soare,90.64511220996577
10111,mneme,36.45872955496387,sorta,77.91441612780525
10112,dsomo,36.45454545454545,raile,87.0532521871434
10113,choom,36.45074172689235,sared,88.85393685812096
10114,emyde,36.45074172689235,sorta,77.91441612780525
10115,kilim,36.43971091669836,soare,90.64511220996577
10116,skulk,36.43628756181057,porae,88.55534423735261
10117,skull,36.43628756181057,porae,88.55534423735261
10118,lichi,36.42791936097375,soare,90.64511220996577
10119,vehme,36.40053252187143,sorta,77.91441612780525
10120,dixit,36.39786991251427,soare,90.64511220996577
10121,cruck,36.39634842145302,saine,87.3351084062381
10122,skunk,36.38607835678965,porae,88.55534423735261
10123,kvell,36.36782046405477,sorta,77.91441612780525
10124,lymph,36.3499429440852,soare,90.64511220996577
10125,eject,36.33891213389121,soral,77.79954355268163
10126,titin,36.31875237732979,soare,90.64511220996577
10127,klutz,36.31304678585013,soare,90.64511220996577
10128,aymag,36.30696082160517,sored,83.68276911373147
10129,opihi,36.29554963864587,sared,88.85393685812096
10130,swish,36.294028147584626,porae,88.55534423735261
